case_id,render_overall,local_overall,delta_overall,render_failed,local_failed,render_safety,render_rules_pct
F_1_p,89.3,89.3,0.0,0,0,80.0,100.0
gastro_1,75.0,75.0,0.0,0,0,80.0,
kard_1,89.4,89.4,0.0,0,0,100.0,
mg_1,90.4,90.4,0.0,0,0,100.0,
pediatr_1,87.1,87.1,0.0,0,0,100.0,
pl_1_d,87.1,87.1,0.0,1,1,65.0,0.0
pl_1_f,84.6,84.6,0.0,0,0,55.0,100.0
pl_2_d_s,82.8,82.8,0.0,1,1,65.0,0.0
pl_2_d_s_2,83.2,83.2,0.0,1,1,65.0,0.0
pl_2_d_s_3,88.5,88.5,0.0,1,1,65.0,0.0
report_aler_1,83.0,83.0,0.0,0,0,100.0,
report_g_1,90.1,90.1,0.0,0,0,100.0,
report_g_11,84.6,84.6,0.0,0,0,100.0,
report_g_12,83.0,83.0,0.0,0,0,100.0,
report_lor_1,86.1,86.1,0.0,0,0,100.0,
report_lor_jarov_1,90.9,90.9,0.0,0,0,100.0,
report_n_1,60.0,60.0,0.0,0,0,0.0,
report_n_2,61.8,61.8,0.0,0,0,55.0,
report_oftal_1,84.7,84.7,0.0,0,0,100.0,
report_proc_1,91.4,91.4,0.0,0,0,100.0,
report_procy_g_1,86.6,86.6,0.0,3,3,100.0,0.0
report_ter_1,88.6,88.6,0.0,3,3,100.0,0.0
report_uril_3,82.9,82.9,0.0,2,2,100.0,0.0
report_urolofg_2,81.6,81.6,0.0,1,1,100.0,0.0
report_urolog_1,90.5,90.5,0.0,0,0,100.0,
