relative_path,category,filename,size_bytes,modified_utc,years_in_filename,has_post_mz,same_basename_count,audience,display_title,icd10_primary,icd_count,audience_confidence,protocol_kind,scope_label_ru
minzdrav_protocols/akusherstvo-ginekologiya/КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,akusherstvo-ginekologiya,КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,584891,2026-05-30T13:52:22Z,2019,no,3,pediatric,Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87,P10|G80.0|G80.9|G81.0|G81.9|G82.0|G82.5|G91.0|G91.9|P52.0|P52.9|Q00,39,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП Поддержка сексуального и репродуктивного здоровья людей живущих с ВИЧ 27.12.2010 №1369.pdf,akusherstvo-ginekologiya,КП Поддержка сексуального и репродуктивного здоровья людей живущих с ВИЧ 27.12.2010 №1369.pdf,3503294,2026-05-30T13:52:23Z,2010,no,2,any,Поддержка сексуального и репродуктивного здоровья людей живущих с ВИЧ 27.12.2010 №1369,B24,1,default,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,akusherstvo-ginekologiya,КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,222220,2026-05-30T13:52:23Z,2020,no,3,pediatric,Профилактика геморрагической болезни у новорожденных детей 02.04.2020 №28,P53,1,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,akusherstvo-ginekologiya,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,390159,2026-05-30T13:52:24Z,2018,no,2,pediatric,Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018 59,Z32.1|R75|Z21|B20|B24|Z20.6|Z11.4|Z39|Z71.7|Z20.5|Z38,11,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,akusherstvo-ginekologiya,КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,99480,2026-05-30T13:52:24Z,2009,no,3,mixed,диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009 №781,E70.0,1,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП медицинской реабилитации пациентов после хирургического лечения новообразований органов желудочно-кишечного тракта04.08.2011 №789.pdf,akusherstvo-ginekologiya,КП медицинской реабилитации пациентов после хирургического лечения новообразований органов желудочно-кишечного тракта04.08.2011 №789.pdf,506794,2026-05-30T13:52:24Z,2011,no,2,any,медицинской реабилитации пациентов после хирургического лечения новообразований органов желудочно-кишечного тракта04.08.2011 №789,,0,default,rehabilitation,Реабилитация (широкий охват МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,akusherstvo-ginekologiya,КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,208596,2026-05-30T13:52:25Z,2022,yes,3,adult,Диагностика и лечение пациентов с хроническими заболеваниями вен взрослое население-пост. МЗ 2022 55,I80|I83|I86.2|I86.3|I87|I82,6,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_лечение_осложнений_многоплодной_беременности_2017_44.pdf,akusherstvo-ginekologiya,КП_Диагностика_лечение_осложнений_многоплодной_беременности_2017_44.pdf,227783,2026-05-30T13:52:25Z,2017,no,2,pediatric,Диагностика лечение осложнений многоплодной беременности 2017 44,O30,1,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_наследственных_тромбофилий_и_профилактика_венозных_тромбоэмболических_осложнений_пост_МЗ_01042022_24.pdf,akusherstvo-ginekologiya,КП_Диагностика_наследственных_тромбофилий_и_профилактика_венозных_тромбоэмболических_осложнений_пост_МЗ_01042022_24.pdf,144523,2026-05-30T13:52:26Z,2022,yes,1,pediatric,Диагностика наследственных тромбофилий и профилактика венозных тромбоэмболических осложнений пост. МЗ 01042022 24,D68.5|O88.2,2,index_csv,clinical,Клинический КП (есть коды МКБ)
minzdrav_protocols/akusherstvo-ginekologiya/КП_Лечение_бесплодия_методом_экстракорпорального_оплодотворения_24.12.2021_№115.pdf,akusherstvo-ginekologiya,КП_Лечение_бесплодия_методом_экстракорпорального_оплодотворения_24.12.2021_№115.pdf,204941,2026-04-04T09:38:04Z,2021,no,1,adult,Лечение бесплодия методом экстракорпорального оплодотворения 24.12.2021 №115,N97.9,1,index_csv,clinical,Клинический КП (есть коды МКБ)
