file,case_id,overall_pct,rules_pct,failed_rules_count,analysis_ms,ai_rating,ai_tags
F_1_p.pdf,F_1_p,91.5,,0,969,,
g_28_1.pdf,g_28_1,89.5,,0,733,,
gastro_1.pdf,gastro_1,75.0,,0,982,,
gyn_28_1.pdf,gyn_28_1,88.5,,0,762,,
k_28_1.pdf,k_28_1,85.6,,0,748,,
kard_1.pdf,kard_1,92.4,,0,743,,
l_28_1.pdf,l_28_1,85.0,,0,764,,
mg_1.pdf,mg_1,91.0,,0,752,,
pediatr_1.pdf,pediatr_1,84.3,,0,813,,
pl_1_d.pdf,pl_1_d,86.2,,0,1224,,
pl_1_f.pdf,pl_1_f,85.0,,0,755,,
pl_2_d_s.pdf,pl_2_d_s,82.9,,0,781,,
pl_2_d_s_2.pdf,pl_2_d_s_2,83.4,,0,805,,
pl_2_d_s_3.pdf,pl_2_d_s_3,89.0,,0,736,,
report_aler_1.pdf,report_aler_1,81.1,,0,739,,
report_g_1.pdf,report_g_1,87.9,,0,1127,,
report_g_11.pdf,report_g_11,84.5,,0,793,,
report_g_12.pdf,report_g_12,81.1,,0,749,,
report_lor_1.pdf,report_lor_1,88.5,,0,1049,,
report_lor_jarov_1.pdf,report_lor_jarov_1,93.3,,0,773,,
report_n_1.pdf,report_n_1,60.0,,0,910,,
report_n_2.pdf,report_n_2,61.9,,0,1145,,
report_oftal_1.pdf,report_oftal_1,84.3,,0,675,,
report_proc_1.pdf,report_proc_1,88.7,,0,1105,,
report_procy_g_1.pdf,report_procy_g_1,76.1,,0,1142,,
report_ter_1.pdf,report_ter_1,88.7,,0,989,,
report_uril_3.pdf,report_uril_3,85.4,,0,1129,,
report_urolofg_2.pdf,report_urolofg_2,84.0,,0,702,,
report_urolog_1.pdf,report_urolog_1,88.7,,0,867,,
t_28_1.pdf,t_28_1,81.0,,0,980,,
