doc_id,pdf_doc_id,source_path,file_name,title,logical_index,chunks,tables,pages
e3f941d8bedacf2bd290b8c9_L0,e3f941d8bedacf2bd290b8c9,minzdrav_protocols/akusherstvo-ginekologiya/КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,Об утверждении клинического протокола,L0,1,0,13
e3f941d8bedacf2bd290b8c9_L1,e3f941d8bedacf2bd290b8c9,minzdrav_protocols/akusherstvo-ginekologiya/КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,клинический протокол «Лучевая диагностика заболеваний головного,L1,2,0,13
e3f941d8bedacf2bd290b8c9_L2,e3f941d8bedacf2bd290b8c9,minzdrav_protocols/akusherstvo-ginekologiya/КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87,L2,1,0,13
e3f941d8bedacf2bd290b8c9_L3,e3f941d8bedacf2bd290b8c9,minzdrav_protocols/akusherstvo-ginekologiya/КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,КЛИНИЧЕСКИЙ ПРОТОКОЛ,L3,1,0,13
e3f941d8bedacf2bd290b8c9_L4,e3f941d8bedacf2bd290b8c9,minzdrav_protocols/akusherstvo-ginekologiya/КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,КП Лучевая диагностика заболеваний головного мозга у детей 23.08.2019 №87.pdf,клинический протокол устанавливает общие требования к лучевой,L4,82,0,13
8429fa03fad1dc403479ff93,8429fa03fad1dc403479ff93,minzdrav_protocols/akusherstvo-ginekologiya/КП Поддержка сексуального и репродуктивного здоровья людей живущих с ВИЧ 27.12.2010 №1369.pdf,КП Поддержка сексуального и репродуктивного здоровья людей живущих с ВИЧ 27.12.2010 №1369.pdf,клинических протоколов,,4,0,56
1e861a90652979800130e51f_L0,1e861a90652979800130e51f,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,Об утверждении клинического протокола,L0,1,0,3
1e861a90652979800130e51f_L1,1e861a90652979800130e51f,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,клинический протокол «Профилактика геморрагической болезни,L1,2,0,3
1e861a90652979800130e51f_L2,1e861a90652979800130e51f,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28,L2,1,0,3
1e861a90652979800130e51f_L3,1e861a90652979800130e51f,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,КЛИНИЧЕСКИЙ ПРОТОКОЛ,L3,1,0,3
1e861a90652979800130e51f_L4,1e861a90652979800130e51f,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,КП Профилактика геморрагической болезни у новорожденных детей 02.04.2020 № 28.pdf,клинический протокол устанавливает общие требования к объемам,L4,15,0,3
bb5fc2f96566b1dae9c3eae2_L0,bb5fc2f96566b1dae9c3eae2,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018 59,L0,1,27,48
bb5fc2f96566b1dae9c3eae2_L1,bb5fc2f96566b1dae9c3eae2,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,клинический протокол «Профилактика,L1,2,27,48
bb5fc2f96566b1dae9c3eae2_L2,bb5fc2f96566b1dae9c3eae2,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018 59,L2,1,27,48
bb5fc2f96566b1dae9c3eae2_L3,bb5fc2f96566b1dae9c3eae2,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КЛИНИЧЕСКИЙ ПРОТОКОЛ,L3,1,27,48
bb5fc2f96566b1dae9c3eae2_L4,bb5fc2f96566b1dae9c3eae2,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,клинический протокол «Профилактика передачи ВИЧ-,L4,1,27,48
bb5fc2f96566b1dae9c3eae2_L5,bb5fc2f96566b1dae9c3eae2,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,Клинический протокол),L5,24,27,48
bb5fc2f96566b1dae9c3eae2_L6,bb5fc2f96566b1dae9c3eae2,minzdrav_protocols/akusherstvo-ginekologiya/КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,КП Профилактика передачи ВИЧ-инфекции от матери ребенку 28.06.2018_59.pdf,Клинический протокол также описывает комплекс,L6,250,27,48
b025f89a8d25d59672f30cd9_L0,b025f89a8d25d59672f30cd9,minzdrav_protocols/akusherstvo-ginekologiya/КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,клинических протоколов,L0,1,2,5
b025f89a8d25d59672f30cd9_L1,b025f89a8d25d59672f30cd9,minzdrav_protocols/akusherstvo-ginekologiya/КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,"клинический протокол диагностики, лечения и медицинской",L1,3,2,5
b025f89a8d25d59672f30cd9_L2,b025f89a8d25d59672f30cd9,minzdrav_protocols/akusherstvo-ginekologiya/КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,"клинический протокол диагностики, лечения и диспансерного",L2,3,2,5
b025f89a8d25d59672f30cd9_L3,b025f89a8d25d59672f30cd9,minzdrav_protocols/akusherstvo-ginekologiya/КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,"клинический протокол диагностики, лечения и диспансерного",L3,6,2,5
b025f89a8d25d59672f30cd9_L4,b025f89a8d25d59672f30cd9,minzdrav_protocols/akusherstvo-ginekologiya/КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,КЛИНИЧЕСКИЙ ПРОТОКОЛ,L4,1,2,5
b025f89a8d25d59672f30cd9_L5,b025f89a8d25d59672f30cd9,minzdrav_protocols/akusherstvo-ginekologiya/КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,КП диагностики лечения и диспансерного наблюдения пациентов с заболеванием фенилкетонурия 07.08.2009_№781.pdf,Клинический протокол диагностики (далее - биохимического,L5,40,2,5
8163d7d78ee09d51ea7b317e,8163d7d78ee09d51ea7b317e,minzdrav_protocols/akusherstvo-ginekologiya/КП медицинской реабилитации пациентов после хирургического лечения новообразований органов желудочно-кишечного тракта04.08.2011 №789.pdf,КП медицинской реабилитации пациентов после хирургического лечения новообразований органов желудочно-кишечного тракта04.08.2011 №789.pdf,КП медицинской реабилитации пациентов после хирургического лечения новообразований органов желудочно-кишечного тракта04.08.2011 №789,,6,0,11
40e005ecb3733cad72328425_L0,40e005ecb3733cad72328425,minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,Об утверждении клинического протокола,L0,1,2,19
40e005ecb3733cad72328425_L1,40e005ecb3733cad72328425,minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,КП Диагностика и лечение пациентов с хроническими заболеваниями вен взр население-пост МЗ 2022 55,L1,2,2,19
40e005ecb3733cad72328425_L2,40e005ecb3733cad72328425,minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,КП Диагностика и лечение пациентов с хроническими заболеваниями вен взр население-пост МЗ 2022 55,L2,1,2,19
40e005ecb3733cad72328425_L3,40e005ecb3733cad72328425,minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,КЛИНИЧЕСКИЙ ПРОТОКОЛ,L3,1,2,19
40e005ecb3733cad72328425_L4,40e005ecb3733cad72328425,minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,КП_Диагностика_и_лечение_пациентов_с_хроническими_заболеваниями_вен_взр_население-пост_МЗ_2022_55.pdf,клинический протокол устанавливает общие требования к объему,L4,182,2,19
d4c0214b734200302ec13b4a_L0,d4c0214b734200302ec13b4a,minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_лечение_осложнений_многоплодной_беременности_2017_44.pdf,КП_Диагностика_лечение_осложнений_многоплодной_беременности_2017_44.pdf,Об утверждении клинического протокола,L0,1,0,5
d4c0214b734200302ec13b4a_L1,d4c0214b734200302ec13b4a,minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_лечение_осложнений_многоплодной_беременности_2017_44.pdf,КП_Диагностика_лечение_осложнений_многоплодной_беременности_2017_44.pdf,КП Диагностика лечение осложнений многоплодной беременности 2017 44,L1,3,0,5
d4c0214b734200302ec13b4a_L2,d4c0214b734200302ec13b4a,minzdrav_protocols/akusherstvo-ginekologiya/КП_Диагностика_лечение_осложнений_многоплодной_беременности_2017_44.pdf,КП_Диагностика_лечение_осложнений_многоплодной_беременности_2017_44.pdf,КП Диагностика лечение осложнений многоплодной беременности 2017 44,L2,1,0,5
